<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140129,000000,152.4591800,153.0459200,150.8010200,151.3316300,0
20140130,000000,151.9949000,153.3010200,151.7040800,152.8622500,0
20140131,000000,151.9795900,152.3724500,150.4898000,150.6785700,0
20140203,000000,150.6530600,151.3826500,146.8316300,147.0714300,20
20140204,000000,147.4489800,149.3265300,147.4183700,148.4132600,4
20140205,000000,148.1020400,148.8724500,147.2653100,148.3265300,0
20140206,000000,148.4642900,150.9540800,148.4642900,150.9081600,1560
20140207,000000,151.5459200,152.6275500,150.8418400,152.1683700,0
20140210,000000,152.2551000,152.6173500,151.2602000,152.2653100,0
20140211,000000,152.2398000,154.1224500,151.9744900,153.7653100,0
20140212,000000,153.7704100,154.6683700,153.0612200,153.6326500,0
20140213,000000,153.2806100,154.0459200,152.4285700,153.9540800,0
20140214,000000,153.8469400,154.5102000,153.5969400,154.3010200,0
20140218,000000,154.4949000,154.7908200,153.8469400,154.1020400,0
20140219,000000,153.6632600,153.9949000,150.9438800,151.0510200,0
20140220,000000,151.1071400,152.1020400,150.4898000,151.6632600,0
20140221,000000,151.6938800,152.8010200,151.3928600,151.9285700,0
20140224,000000,152.0102000,154.5051000,152.0102000,153.7857100,0
20140225,000000,153.7602000,153.7755100,152.3979600,152.6020400,0
20140226,000000,152.9030600,153.1938800,151.3622500,152.7602000,0
20140227,000000,152.5612200,153.2551000,151.7091800,153.2551000,0
20140228,000000,153.2040800,155.0408200,152.7193900,153.9132600,0
20140303,000000,153.4438800,153.4438800,151.3826500,152.1887800,0
20140304,000000,152.4693900,155.3979600,152.4693900,155.2295900,0
20140305,000000,155.4898000,157.3265300,155.4591800,157.0102000,0
20140306,000000,157.2398000,158.8469400,157.2398000,158.1122500,0
20140307,000000,158.6836700,160.6122500,158.6275500,159.3316300,0
20140310,000000,159.1224500,159.5918400,158.3673500,159.5816300,0
